country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Russian Federation,1989,male,75+ years,1393,1349100,103.25,Russian Federation1989,,"506,500,173,960",3740,G.I. Generation
Russian Federation,1989,male,35-54 years,12030,18058500,66.62,Russian Federation1989,,"506,500,173,960",3740,Silent
Russian Federation,1989,male,55-74 years,6250,9383700,66.6,Russian Federation1989,,"506,500,173,960",3740,G.I. Generation
Russian Federation,1989,male,25-34 years,6856,12748800,53.78,Russian Federation1989,,"506,500,173,960",3740,Boomers
Russian Federation,1989,female,75+ years,1677,4738100,35.39,Russian Federation1989,,"506,500,173,960",3740,G.I. Generation
Russian Federation,1989,male,15-24 years,2581,10073900,25.62,Russian Federation1989,,"506,500,173,960",3740,Generation X
Russian Federation,1989,female,55-74 years,3042,15522500,19.6,Russian Federation1989,,"506,500,173,960",3740,G.I. Generation
Russian Federation,1989,female,35-54 years,2326,19316700,12.04,Russian Federation1989,,"506,500,173,960",3740,Silent
Russian Federation,1989,female,25-34 years,827,12470000,6.63,Russian Federation1989,,"506,500,173,960",3740,Boomers
Russian Federation,1989,female,15-24 years,628,9650700,6.51,Russian Federation1989,,"506,500,173,960",3740,Generation X
Russian Federation,1989,male,5-14 years,263,11233200,2.34,Russian Federation1989,,"506,500,173,960",3740,Generation X
Russian Federation,1989,female,5-14 years,48,10898600,0.44,Russian Federation1989,,"506,500,173,960",3740,Generation X
Russian Federation,1990,male,75+ years,1366,1382500,98.81,Russian Federation1990,,"516,814,274,022",3789,G.I. Generation
Russian Federation,1990,male,35-54 years,12517,18495100,67.68,Russian Federation1990,,"516,814,274,022",3789,Silent
Russian Federation,1990,male,55-74 years,6401,9577500,66.83,Russian Federation1990,,"516,814,274,022",3789,G.I. Generation
Russian Federation,1990,male,25-34 years,6868,12477900,55.04,Russian Federation1990,,"516,814,274,022",3789,Boomers
Russian Federation,1990,female,75+ years,1608,4847400,33.17,Russian Federation1990,,"516,814,274,022",3789,G.I. Generation
Russian Federation,1990,male,15-24 years,2874,10059700,28.57,Russian Federation1990,,"516,814,274,022",3789,Generation X
Russian Federation,1990,female,55-74 years,3064,15534000,19.72,Russian Federation1990,,"516,814,274,022",3789,G.I. Generation
Russian Federation,1990,female,35-54 years,2467,19730400,12.5,Russian Federation1990,,"516,814,274,022",3789,Silent
Russian Federation,1990,female,25-34 years,910,12197600,7.46,Russian Federation1990,,"516,814,274,022",3789,Boomers
Russian Federation,1990,female,15-24 years,641,9649700,6.64,Russian Federation1990,,"516,814,274,022",3789,Generation X
Russian Federation,1990,male,5-14 years,260,11397000,2.28,Russian Federation1990,,"516,814,274,022",3789,Generation X
Russian Federation,1990,female,5-14 years,52,11049400,0.47,Russian Federation1990,,"516,814,274,022",3789,Generation X
Russian Federation,1991,male,75+ years,1326,1371000,96.72,Russian Federation1991,,"517,962,962,963",3773,G.I. Generation
Russian Federation,1991,male,35-54 years,12746,18782900,67.86,Russian Federation1991,,"517,962,962,963",3773,Boomers
Russian Federation,1991,male,55-74 years,6566,9894400,66.36,Russian Federation1991,,"517,962,962,963",3773,Silent
Russian Federation,1991,male,25-34 years,6901,12157500,56.76,Russian Federation1991,,"517,962,962,963",3773,Boomers
Russian Federation,1991,female,75+ years,1510,4831000,31.26,Russian Federation1991,,"517,962,962,963",3773,G.I. Generation
Russian Federation,1991,male,15-24 years,2984,10112700,29.51,Russian Federation1991,,"517,962,962,963",3773,Generation X
Russian Federation,1991,female,55-74 years,2926,15781500,18.54,Russian Federation1991,,"517,962,962,963",3773,Silent
Russian Federation,1991,female,35-54 years,2429,19987200,12.15,Russian Federation1991,,"517,962,962,963",3773,Boomers
Russian Federation,1991,female,25-34 years,888,11901200,7.46,Russian Federation1991,,"517,962,962,963",3773,Boomers
Russian Federation,1991,female,15-24 years,642,9697300,6.62,Russian Federation1991,,"517,962,962,963",3773,Generation X
Russian Federation,1991,male,5-14 years,298,11561800,2.58,Russian Federation1991,,"517,962,962,963",3773,Millenials
Russian Federation,1991,female,5-14 years,65,11204500,0.58,Russian Federation1991,,"517,962,962,963",3773,Millenials
Russian Federation,1992,male,75+ years,1233,1340500,91.98,Russian Federation1992,,"460,290,556,901",3333,G.I. Generation
Russian Federation,1992,male,35-54 years,15824,18933500,83.58,Russian Federation1992,,"460,290,556,901",3333,Boomers
Russian Federation,1992,male,55-74 years,8014,10319200,77.66,Russian Federation1992,,"460,290,556,901",3333,Silent
Russian Federation,1992,male,25-34 years,7958,11773600,67.59,Russian Federation1992,,"460,290,556,901",3333,Boomers
Russian Federation,1992,male,15-24 years,3447,10235100,33.68,Russian Federation1992,,"460,290,556,901",3333,Generation X
Russian Federation,1992,female,75+ years,1458,4741300,30.75,Russian Federation1992,,"460,290,556,901",3333,G.I. Generation
Russian Federation,1992,female,55-74 years,3133,16206600,19.33,Russian Federation1992,,"460,290,556,901",3333,Silent
Russian Federation,1992,female,35-54 years,2768,20093200,13.78,Russian Federation1992,,"460,290,556,901",3333,Boomers
Russian Federation,1992,female,25-34 years,990,11561000,8.56,Russian Federation1992,,"460,290,556,901",3333,Boomers
Russian Federation,1992,female,15-24 years,704,9791500,7.19,Russian Federation1992,,"460,290,556,901",3333,Generation X
Russian Federation,1992,male,5-14 years,318,11747200,2.71,Russian Federation1992,,"460,290,556,901",3333,Millenials
Russian Federation,1992,female,5-14 years,76,11376200,0.67,Russian Federation1992,,"460,290,556,901",3333,Millenials
Russian Federation,1993,male,35-54 years,20256,18908000,107.13,Russian Federation1993,,"435,083,713,851",3160,Boomers
